inst_code,institute,program,ciwg,nonciwg,dasa_total,branch_cat,group,nirf_rank,nirf_score,city,state
401,"Assam University, Silchar",Agricultural Engineering,3,6,9,Bio & Life Sciences,Other-GFTI,999,,Silchar,Assam
401,"Assam University, Silchar",Computer Science and Engineering,3,6,9,Computing & IT,Other-GFTI,999,,Silchar,Assam
401,"Assam University, Silchar",Electronics and Communication Engineering,3,6,9,Electronics & Comm,Other-GFTI,999,,Silchar,Assam
301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,4,9,13,Computing & IT,IIIT,96,46.25,Gwalior,Madhya Pradesh
301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,3,6,9,Electronics & Comm,IIIT,96,46.25,Gwalior,Madhya Pradesh
301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT),5,9,14,Computing & IT,IIIT,96,46.25,Gwalior,Madhya Pradesh
301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and MBA,3,6,9,Computing & IT,IIIT,96,46.25,Gwalior,Madhya Pradesh
301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,3,6,9,Computing & IT,IIIT,96,46.25,Gwalior,Madhya Pradesh
453,"Charotar University of Science and Technology (CHARUSAT), Gujarat",Civil Engineering,3,6,9,Civil & Infra,Other-GFTI,999,,Anand,Gujarat
454,"Delhi Technological University, Delhi",Biotechnology,1,3,4,Bio & Life Sciences,Other-GFTI,30,60.85,New Delhi,Delhi
454,"Delhi Technological University, Delhi",Chemical Engineering,1,3,4,Chemical & Process,Other-GFTI,30,60.85,New Delhi,Delhi
454,"Delhi Technological University, Delhi",Civil Engineering,2,6,8,Civil & Infra,Other-GFTI,30,60.85,New Delhi,Delhi
454,"Delhi Technological University, Delhi",Computer Science and Engineering,8,16,24,Computing & IT,Other-GFTI,30,60.85,New Delhi,Delhi
454,"Delhi Technological University, Delhi",Electrical Engineering,5,10,15,Electrical & Power,Other-GFTI,30,60.85,New Delhi,Delhi
