Institute,NIRF Rank,,,,,
Indian Institute of Technology Madras,1,,,,,
Indian Institute of Technology Delhi,2,,,,,
Indian Institute of Technology Bombay,3,,,,,
Indian Institute of Technology Kanpur,4,,,,,
Indian Institute of Technology Kharagpur,5,,,,,
Indian Institute of Technology Roorkee,6,,,,,
Indian Institute of Technology Guwahati,7,,,,,
Indian Institute of Technology Hyderabad,8,,,,,
National Institute of Technology Tiruchirappalli,9,,,,,
Indian Institute of Technology (Banaras Hindu University) Varanasi,10,,,,,
Vellore Institute of Technology,11,,,,,
Jadavpur University,12,,,,,
S. R. M. Institute of Science and Technology,13,,,,,
Anna University,14,,,,,
Indian Institute of Technology (Indian School of Mines) Dhanbad,15,,,,,
Indian Institute of Technology Indore,16,,,,,
"National Institute of Technology Karnataka,  Surathkal",17,,,,,
Indian Institute of Technology Gandhinagar,18,,,,,
National Institute of Technology Rourkela,19,,,,,
"Birla Institute of Technology and Science, Pilani",20,,,,,
National Institute of Technology Warangal,21,,,,,
Indian Institute of Technology Ropar,22,,,,,
Amrita Vishwa Vidyapeetham,23,,,,,
Jamia Millia Islamia,24,,,,,
National Institute of Technology Calicut,25,,,,,
Siksha 'O' Anusandhan,26,,,,,
Delhi Technological University,27,,,,,
Indian Institute of Technology Jodhpur,28,,,,,
Thapar Institute of Engineering and Technology,29,,,,,
Amity University,30,,,,,
Indian Institute of Technology Mandi,31,,,,,
Chandigarh University,32,,,,,
Aligarh Muslim University,33,,,,,
Indian Institute of Technology Patna,34,,,,,
Koneru Lakshmaiah Education Foundation University,35,,,,,
Kalasalingam Academy of Research and Education,36,,,,,
Kalinga Institute of Industrial Technology,37,,,,,
Shanmugha Arts Science Technology and Research Academy,38,,,,,
Visvesvaraya National Institute of Technology Nagpur,39,,,,,
National Institute of Technology Silchar,40,,,,,
Institute of Chemical Technology,41,,,,,
UPES,42,,,,,
Malaviya National Institute of Technology Jaipur,43,,,,,
National Institute of Technology Durgapur,44,,,,,
National Institute of Technology Delhi,45,,,,,
Sri Sivasubramaniya Nadar College of Engineering,46,,,,,
International Institute of Information Technology Hyderabad,47,,,,,
Birla Institute of Technology,48,,,,,
"Indian Institute of Engineering Science and Technology,  Shibpur",49,,,,,
Lovely Professional University,50,,,,,
Indian Institute of Space Science and Technology,51,,,,,
Graphic Era University,52,,,,,
Saveetha Institute of Medical and Technical Sciences,53,,,,,
Indian Institute of Technology Bhubaneswar,54,,,,,
National Institute of Technology Patna,55,,,,,
Manipal Institute of Technology,56,,,,,
Netaji Subhas University of Technology (NSUT),57,,,,,
Dr. B R Ambedkar National Institute of Technology Jalandhar,58,,,,,
Sardar Vallabhbhai National Institute of Technology SURAT,59,,,,,
Motilal Nehru National Institute of Technology,60,,,,,
Indian Institute of Technology Tirupati,61,,,,,
Indian Institute of Technology Jammu,62,,,,,
Defence Institute of Advanced Technology,63,,,,,
Manipal University Jaipur,64,,,,,
Indian Institute of Technology Palakkad,64,,,,,
