name,district,type
University Departments of Anna University Chennai - CEG Campus Sa…,CHENNAI,University Dept
University Departments of Anna University Chennai - ACT Campus Sa…,CHENNAI,University Dept
School of Architecture and Planning Anna University Chennai 60002…,CHENNAI,University Dept
University Departments of Anna University Chennai - MIT Campus Ch…,CHENGALPET,University Dept
Annamalai University Faculty of Engineering and Technology Annama…,CUDDALORE,Annamalai Univ
University College of Engineering Villupuram Kakuppam Villupuram …,VILUPPURAM,University Constituent
University College of Engineering Tindivanam Melpakkam Tindivanam…,VILUPPURAM,University Constituent
University College of Engineering Arni Arni to Devikapuram Road T…,THIRUVANNAMALAI,University Constituent
University College of Engineering Kancheepuram Ponnerikarai Campu…,KANCHEEPURAM,University Constituent
"Aalim Muhammed Salegh College of Engineering, Nizara Educational …",THIRUVALLUR,Self-Financing T3
"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S)…",THIRUVALLUR,Self-Financing T3
"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvall…",THIRUVALLUR,Self-Financing T3
"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani …",THIRUVALLUR,Self-Financing T3
"Prathyusha Engineering College , Poonamallee-Tiruvallur High Road…",THIRUVALLUR,Self-Financing T2
"R.M.D. Engineering College , R.S.M. Nagar, Gummidipoondi Taluk, K…",THIRUVALLUR,Self-Financing T1
"R.M.K. Engineering College , R.S.M. Nagar, Kavaraipettai, Gummidi…",THIRUVALLUR,Self-Financing T1
"S.A. Engineering College , Poonamallee- Avadi Road, Thiruverkadu …",THIRUVALLUR,Self-Financing T2
"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruv…",THIRUVALLUR,Self-Financing T3
"Sri Venkateswara College of Engineering and Technology, Thirupach…",THIRUVALLUR,Self-Financing T3
Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering Colle…,THIRUVALLUR,Self-Financing T3
"Velammal Engineering College , Velammal Nagar, Ambattur-Redhills …",THIRUVALLUR,Self-Financing T1
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering Colleg…,THIRUVALLUR,Self-Financing T2
"Gojan School of Business and Technology, 80-Feet Road, Edapalayam…",THIRUVALLUR,Self-Financing T3
"SAMS College of Engineering and Technology, 82,Panapakkam, Tirupa…",THIRUVALLUR,Self-Financing T3
"JNN Institute of Engineering , Ushaa Garden, 90, Kannigaipair Vil…",THIRUVALLUR,Self-Financing T3
"St. Peter's College of Engineering and Technology , College Road,…",THIRUVALLUR,Self-Financing T3
"R.M.K. College of Engineering and Technology , R.S.M. Nagar, Pudu…",THIRUVALLUR,Self-Financing T1
"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedung…",KANCHEEPURAM,Self-Financing T3
"Annai Mira College of Engineering and Technology, Arappakkam Vill…",RANIPET,Self-Financing T3
"Jeppiaar Institute of Technology , Jeppiaar Nagar, Kunnam Village…",KANCHEEPURAM,Self-Financing T3
"St. Joseph's Institute of Technology , Jeppiaar Nagar, Old Mamall…",CHENGALPET,Self-Financing T1
"Sri Jayaram Institute of Engineering and Technology, 51 N,Elavur,…",THIRUVALLUR,Self-Financing T3
"DMI College of Engineering , St.Joseph's Town,Mevalurkuppam B Vil…",KANCHEEPURAM,Self-Financing T3
"MADRAS ENGINEERING COLLEGE, TAMBARAM ROAD, VELLARAI (CHENNAI METR…",KANCHEEPURAM,Self-Financing T3
