code,name
BY,Bio Medical Engineering (Ss)
CE,Civil Engineering
CM,Computer Science And Engineering (Ss)
CS,Computer Science And Engineering
EC,Electronics And Communication Engineering
EE,Electrical And Electronics Engineering
EL,Electronics Engineering (Vlsi Design And Technology) (Ss)
EM,Electronics And Communication Engineering (Ss)
GI,Geo Informatics
IE,Industrial Engineering
IM,Information Technology (Ss)
MA,Material Science And Engineering (Ss)
ME,Mechanical Engineering
MI,Mining Engineering
MN,Manufacturing Engineering
PT,Printing & Packing Technology
XC,Civil Engineering (Tamil Medium)
XM,Mechanical Engineering (Tamil Medium)
AP,Apparel Technology (Ss)
CH,Chemical Engineering
CL,Chemical Engineering (Ss)
CR,Ceramic Technology (Ss)
FS,Food Technology (Ss)
IB,Industrial Bio Technology
IS,Industrial Bio Technology (Ss)
LE,Leather Technology
PM,Pharmaceutical Technology (Ss)
PP,Petroleum Engineering And Technology (Ss)
TX,Textile Technology
BP,B.Plan
AE,Aeronautical Engineering
AT,Artificial Intelligence And Data Science (Ss)
AU,Automobile Engineering
EI,Electronics And Instrumentation Engineering
PR,Production Engineering
RA,Robotics And Automation (Ss)
RP,Rubber And Plastic Technology
RM,Robotics And Automation
AM,Computer Science And Engineering (Ai And Machine Learning)
IT,Information Technology
SC,Computer Science And Engineering (Cyber Security)
MT,Metallurgical Engineering
CF,Computer Science And Engineering (Data Science)
MZ,Mechatronics Engineering
AS,Automobile Engineering (Ss)
BS,Bio Technology (Ss)
CG,Computer Science And Engineering (Artificial Intelligence And Machine Learning) (Ss)
CN,Civil Engineering (Ss)
EY,Electrical And Electronics Engineering (Ss)
FY,Fashion Technology (Ss)
IY,Instrumentation And Control Engineering (Ss)
MF,Mechanical Engineering (Ss)
MS,Mechanical Engineering (Sandwich) (Ss)
MY,Metallurgical Engineering (Ss)
PN,Production Engineering (Ss)
TT,Textile Technology (Ss)
CW,Computer Science And Business System (Ss)
ID,Interior Design (Ss)
MG,Mechatronics (Ss)
PA,Plastic Technology
HT,Handloom And Textile Technology
CC,Chemical And Electro Chemical Engineering (Ss)
EF,Electrical And Computer Engineering
AD,Artificial Intelligence And Data Science
EV,Electronics Engineering (Vlsi Design And Technology)
BT,Bio Technology
CK,Civil Engineering (Environmental Engineering)
MB,Mechanical Engineering (Automobile)
MJ,Mechanical And Smart Manufacturing
PC,Petro Chemical Technology
PH,Pharmaceutical Technology
EX,Electronics And Computer Engineering
AL,Artificial Intelligence And Machine Learning
CZ,Civil And Structutural Engineering
MM,Mechanical Engineering (Manufacturing)
CB,Computer Science And Bussiness System
CO,Computer And Communication Engineering
FD,Food Technology
CD,Computer Science And Design
EA,Electronics And Communication (Advanced Communication Technology)
BM,Bio Medical Engineering
MD,Medical Electronics Engineering
MU,Mechanical And Automation Engineering
MR,Marine Engineering
AG,Agricultural Engineering
PE,Petroleum Engineering
AO,Aerospace Engineering
FT,Fashion Technology
CJ,M.Tech. Computer Science And Engineering (Integrated 5 Years)
CI,Computer Science And Engineering (Internet Of Things)
ER,Environmental Science & Technology
RI,Robotics And Artificial Intelligence
DA,Bachelor Of Design
CY,Cyber Security
CA,Computer Science And Engineering(Artificial Intelligence)
XS,Computer Science And Engineering (Tamil)
IF,Interior Design
IC,Instrumentation And Control Engineering
SF,Safety And Fire Engineering
TC,Textile Chemistry
MO,Mechanical And Mechatronics Engineering (Additive Manufacturing)
SB,Computer Science And Engineering (Internet Of Things And Cyber Security Including Block Chain Technology)
TS,Computer Science And Technology
EN,Environmental Engineering
BC,Bio Technology And Bio Chemical Engineering
IN,Industrial Engineering And Management
