college,branch_code,oc,bc,bcm,mbc,sc,sca,st
University Departments of Anna University Chennai - CEG Campus Sa…,BY,195.5,193,190,193,189.5,179,185.5
University Departments of Anna University Chennai - CEG Campus Sa…,CE,195.5,193.5,195,194.5,193,182.5,182.5
University Departments of Anna University Chennai - CEG Campus Sa…,CM,199.5,199,199.5,199,196.5,191,196
University Departments of Anna University Chennai - CEG Campus Sa…,CS,200,200,199.5,200,198.5,198.7,197
University Departments of Anna University Chennai - CEG Campus Sa…,EC,199.5,199.5,198.5,199,197.5,192.5,
University Departments of Anna University Chennai - CEG Campus Sa…,EE,198,197,196,197.5,193.5,188.5,197
University Departments of Anna University Chennai - CEG Campus Sa…,EL,197.5,197,196.5,197,192.5,186,189.5
University Departments of Anna University Chennai - CEG Campus Sa…,EM,199,198.5,,198.5,195.5,188.5,
University Departments of Anna University Chennai - CEG Campus Sa…,GI,194,189.5,191.5,188.5,180.5,181.5,186
University Departments of Anna University Chennai - CEG Campus Sa…,IE,192,189,182,187,182.5,173.4,175.5
University Departments of Anna University Chennai - CEG Campus Sa…,IM,199,198,198,198.5,195,185.5,191.5
University Departments of Anna University Chennai - CEG Campus Sa…,MA,192.5,189.5,190.5,187,180.5,173.5,
University Departments of Anna University Chennai - CEG Campus Sa…,ME,196.5,195,194.5,194.8,189,182.5,195.5
University Departments of Anna University Chennai - CEG Campus Sa…,MI,193.5,188,185.5,190.5,182,172.5,
University Departments of Anna University Chennai - CEG Campus Sa…,MN,189.5,187,184,184.5,181.5,176.5,181
University Departments of Anna University Chennai - CEG Campus Sa…,PT,187,182,182.5,180,172,156,
University Departments of Anna University Chennai - CEG Campus Sa…,XC,192.5,184,185,186,185.5,182,
University Departments of Anna University Chennai - CEG Campus Sa…,XM,188.5,184.5,184,183,175.5,174,
University Departments of Anna University Chennai - ACT Campus Sa…,AP,176.5,170.5,175.5,167,162,144.5,
University Departments of Anna University Chennai - ACT Campus Sa…,CH,195,191,193.5,192.5,188,177.5,169
University Departments of Anna University Chennai - ACT Campus Sa…,CL,192,190,185.5,188,183,163,168
University Departments of Anna University Chennai - ACT Campus Sa…,CR,179,172.5,177,172.5,162.5,121.5,155.5
University Departments of Anna University Chennai - ACT Campus Sa…,FS,191,186.5,189,184,181,167.5,
University Departments of Anna University Chennai - ACT Campus Sa…,IB,193.5,188.7,182,184,182.5,,
University Departments of Anna University Chennai - ACT Campus Sa…,IS,188.5,187.5,181.5,183,179,164.5,
University Departments of Anna University Chennai - ACT Campus Sa…,LE,178.5,170,175.5,172.5,165.5,141.5,163.5
University Departments of Anna University Chennai - ACT Campus Sa…,PM,184.5,180.5,183.5,179,173.5,160,168
University Departments of Anna University Chennai - ACT Campus Sa…,PP,188,184,186,184,179,166.5,
University Departments of Anna University Chennai - ACT Campus Sa…,TX,180.5,171.5,179,169,168.5,153.5,
School of Architecture and Planning Anna University Chennai 60002…,BP,187,180.5,180,179.5,178,151.5,156.5
University Departments of Anna University Chennai - MIT Campus Ch…,AE,196.5,194.5,194,194.5,190,179,189
University Departments of Anna University Chennai - MIT Campus Ch…,AT,198.5,197.5,198,197.5,194.5,183,191.5
University Departments of Anna University Chennai - MIT Campus Ch…,AU,193.5,191,189,190.5,184.5,176.5,174.5
University Departments of Anna University Chennai - MIT Campus Ch…,CM,198.5,198,198,198,196,186.5,191.5
University Departments of Anna University Chennai - MIT Campus Ch…,CS,199.5,199,198.5,199,197,187.5,194.5
University Departments of Anna University Chennai - MIT Campus Ch…,EC,198.5,198,198.5,198,194.5,193.5,
University Departments of Anna University Chennai - MIT Campus Ch…,EI,196.5,196,195,195,191,182.5,
University Departments of Anna University Chennai - MIT Campus Ch…,EM,198,197.5,196.5,197.5,194,184,193.5
University Departments of Anna University Chennai - MIT Campus Ch…,IM,198,197.5,197,197.5,193.5,184,190
University Departments of Anna University Chennai - MIT Campus Ch…,PR,190.5,187.5,188.5,185.5,182,173.5,173
University Departments of Anna University Chennai - MIT Campus Ch…,RA,196.5,195.5,196,195.5,190,187,
University Departments of Anna University Chennai - MIT Campus Ch…,RP,183,179,180.5,176.5,174,148,
Thanthai Periyar Government Institute of Technology Bagayam Vello…,CE,169,155.5,157,162.5,152.1,145.5,155.5
Thanthai Periyar Government Institute of Technology Bagayam Vello…,CS,190,185,184,185,169.5,166.5,
Thanthai Periyar Government Institute of Technology Bagayam Vello…,EC,184,178,174,179,165,140,124
Thanthai Periyar Government Institute of Technology Bagayam Vello…,EE,177,174,163.5,167,155,132,155
Thanthai Periyar Government Institute of Technology Bagayam Vello…,ME,165.5,155,155.5,157,145,125,
Thanthai Periyar Government Institute of Technology Bagayam Vello…,RM,177.5,167.5,163,170,155.5,147,124.5
Government College of Technology Thadagam Road Coimbatore Distric…,AM,196,195,194.5,195,189,185,
Government College of Technology Thadagam Road Coimbatore Distric…,CE,188,183,179.5,182,176,174,185
Government College of Technology Thadagam Road Coimbatore Distric…,CS,197.5,196,195.5,196.5,192.5,193.5,187.5
Government College of Technology Thadagam Road Coimbatore Distric…,EC,197,196,195.5,195.5,188,183.5,187.5
Government College of Technology Thadagam Road Coimbatore Distric…,EE,195,193.5,192.5,192.5,186.5,179,194.5
Government College of Technology Thadagam Road Coimbatore Distric…,EI,193,191.5,191,190,179,174.5,176
Government College of Technology Thadagam Road Coimbatore Distric…,IB,184.5,178.5,171,175,165.5,156,168
Government College of Technology Thadagam Road Coimbatore Distric…,IT,196.3,195.5,194.5,195.5,190,182.5,182.5
Government College of Technology Thadagam Road Coimbatore Distric…,ME,190,187,186,185.2,175.5,173,181.5
Government College of Technology Thadagam Road Coimbatore Distric…,PR,184,180.5,180.5,178.5,167.5,153.5,
Government College of Engineering Chettikkarai Post Dharmapuri Di…,CE,166.5,153.5,133.5,158,147.5,143.5,148
Government College of Engineering Chettikkarai Post Dharmapuri Di…,CS,183.5,179,168.5,179,172,178,
Government College of Engineering Chettikkarai Post Dharmapuri Di…,EC,179,174,165,175.5,162.5,164,
Government College of Engineering Chettikkarai Post Dharmapuri Di…,EE,173.5,168,160.5,168,151.5,156,153.5
Government College of Engineering Chettikkarai Post Dharmapuri Di…,IT,181,176.5,169,174,167.5,150.5,
Government College of Engineering Chettikkarai Post Dharmapuri Di…,ME,161,152.5,146,157,144.5,144,
Government College of Engineering Bargur Krishnagiri District 635…,CS,191,187,185.5,189,178,155,157
Government College of Engineering Bargur Krishnagiri District 635…,EC,187.5,183.5,179,184.5,169,152.5,
Government College of Engineering Bargur Krishnagiri District 635…,EE,180.5,175,168,179,161.5,153.5,
Government College of Engineering Bargur Krishnagiri District 635…,ME,175.5,168,173.5,169.5,154,163,144
Government College of Engineering Bargur Krishnagiri District 635…,SC,187,181.5,183,184,172.5,177.5,135
Government College of Engineering Karuppur Salem District 636011,AM,194,192.5,192,190.5,181,181,
Government College of Engineering Karuppur Salem District 636011,CE,181,177,171.5,174.5,167,157.5,175.5
Government College of Engineering Karuppur Salem District 636011,CS,195,194,193,194,184,180.5,
Government College of Engineering Karuppur Salem District 636011,EC,194.5,193,191,192,182.5,174.5,
Government College of Engineering Karuppur Salem District 636011,EE,192,190.5,190.5,189,180.5,175,172.5
Government College of Engineering Karuppur Salem District 636011,ME,184.5,180.5,178,176,168,153.5,155.5
Government College of Engineering Karuppur Salem District 636011,MT,182.5,180,172,177,160,158.5,135.5
Government College of Engineering (Formerly Institute of Road and…,AU,172.5,164,161.5,164.5,144.5,145,
Government College of Engineering (Formerly Institute of Road and…,CE,176.5,169,,173.5,169,167.5,
Government College of Engineering (Formerly Institute of Road and…,CF,188,184,185.5,185,170,168.5,
Government College of Engineering (Formerly Institute of Road and…,CS,191.5,187.5,191,188.5,180,174,
Government College of Engineering (Formerly Institute of Road and…,EC,189.5,186,184,187.5,173,166,153.5
Government College of Engineering (Formerly Institute of Road and…,EE,182.5,179.5,173.5,180,165.5,163.5,172
Government College of Engineering (Formerly Institute of Road and…,IT,186.5,183.5,183.5,184.5,177.5,161,159
Government College of Engineering (Formerly Institute of Road and…,ME,175.5,169,172,170,156.5,,
Government College of Engineering Gandarvakottai Road Sengipatti …,CE,167.5,154,145.5,153.5,145,127.5,152
Government College of Engineering Gandarvakottai Road Sengipatti …,CS,182.5,179,176,177.5,167,159,148
Government College of Engineering Gandarvakottai Road Sengipatti …,EC,179,174.5,165,173.5,163,133,
Government College of Engineering Gandarvakottai Road Sengipatti …,EE,174,168.5,162,167,150.5,155,
Government College of Engineering Gandarvakottai Road Sengipatti …,ME,163,152.5,154.5,154,141,128.5,
Government College of Engineering Gandarvakottai Road Sengipatti …,RM,172,164,163.5,163,146,138,126
Government College of Engineering Srirangam Sethurappatti Tiruchi…,CE,171,160,158.5,160,154.5,133.5,
Government College of Engineering Srirangam Sethurappatti Tiruchi…,CS,188,183,179.5,182.5,176,160.5,148
Government College of Engineering Srirangam Sethurappatti Tiruchi…,EC,185.5,180,174,179.5,169,156,166.5
Government College of Engineering Srirangam Sethurappatti Tiruchi…,EE,178.5,173.5,166,173,159,150.5,
Government College of Engineering Srirangam Sethurappatti Tiruchi…,ME,170,161,169,160.5,146.5,135,153
Government College of Engineering Srirangam Sethurappatti Tiruchi…,MZ,172.5,163.5,162,157.5,143.5,147.5,
Government College of Engineering Tirunelveli District 627007,CE,177,172,171,171,155.5,142,101
Government College of Engineering Tirunelveli District 627007,CS,193,190.5,191,189,181.5,,165
Government College of Engineering Tirunelveli District 627007,EC,190,188,188.5,184.5,178,152.5,167.5
Government College of Engineering Tirunelveli District 627007,EE,187.5,183.5,186,180.5,171.5,140,162.5
Government College of Engineering Tirunelveli District 627007,EI,184,179,182,175.5,157,147.5,
Government College of Engineering Tirunelveli District 627007,IB,175.5,166.5,164,166,156,122.5,
Government College of Engineering Tirunelveli District 627007,ME,176.5,169.5,172,165,156,118.5,103.5
Government College of Engineering Melachokkanathapuram Bodinayakk…,CE,165.5,149.5,160,151,141,135.5,
Government College of Engineering Melachokkanathapuram Bodinayakk…,CF,178,173,174.5,171,160,152,128
Government College of Engineering Melachokkanathapuram Bodinayakk…,CS,181,175.5,180.5,173.5,165.5,,144.5
Government College of Engineering Melachokkanathapuram Bodinayakk…,EC,177,173,171,170.5,161,141.5,105.5
Government College of Engineering Melachokkanathapuram Bodinayakk…,EE,168,164,165,164,155,133,
Government College of Engineering Melachokkanathapuram Bodinayakk…,ME,158.5,150,154,151,140,,
Alagappa Chettair Government College of Engineering and Technolog…,CE,183.5,180,170,176.5,169.5,161.5,165.5
Alagappa Chettair Government College of Engineering and Technolog…,CS,194,192.5,191.5,192.5,182.5,177,147.5
Alagappa Chettair Government College of Engineering and Technolog…,EC,192.5,190.5,190.5,190.5,180,176,183.5
Alagappa Chettair Government College of Engineering and Technolog…,EE,188.5,185,188,185,169.5,163.5,
Alagappa Chettair Government College of Engineering and Technolog…,IT,191.5,189.5,190,190,179.5,180.5,
Alagappa Chettair Government College of Engineering and Technolog…,ME,182,176,172,172,161.5,146.5,139.5
PSG College of Technology Peelamedu Coimbatore District 641004,AS,188.5,182.5,184.5,182,171,146,162
PSG College of Technology Peelamedu Coimbatore District 641004,BS,194,192,189,186,177.5,183,185
PSG College of Technology Peelamedu Coimbatore District 641004,BY,191.5,187.5,189.5,187.5,179.5,175.5,
PSG College of Technology Peelamedu Coimbatore District 641004,CE,194.5,192.7,192,191.5,187,180,
PSG College of Technology Peelamedu Coimbatore District 641004,CG,198.5,198,197,197,193.5,193.5,
